dataset_id,row_id,latitude,longitude,species_name,scientific_name,common_name,itis_tsn,group_size,series_id,date_time,timezone,ds_type,platform,provider,lprecision,tprecision,oceano,notes,last_mod
945,945_1140,41.197498,-71.563428,Loggerhead - Caretta caretta,Caretta caretta,Loggerhead Sea Turtle,173830,1,,9/12/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_1140"", ""obsDate"": ""2011-09-12"", ""longitude"": -71.563, ""latitude"": 41.197, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 19.58, ""8DAYS"": 19.66, ""MONTH"": 19.76, ""YEAR"": 12.7}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 20.59, ""MONTH"": 20.22, ""YEAR"": 17.21}, ""HYCOM"": {""MONTH"": 20.03, ""YEAR"": 12.97}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 31.67, ""YEAR"": 31.46}}, ""BATH"": {""ETOPO1"": -3.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_1139,41.205608,-71.579317,Leatherback - Dermochelys coriacea,Dermochelys coriacea,Leatherback Sea Turtle,173843,1,,8/22/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_1139"", ""obsDate"": ""2011-08-22"", ""longitude"": -71.579, ""latitude"": 41.206, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 20.86, ""8DAYS"": 21.06, ""MONTH"": 21.59, ""YEAR"": 12.7}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 21.48, ""MONTH"": 21.64, ""YEAR"": 17.21}, ""HYCOM"": {""MONTH"": 21.86, ""YEAR"": 12.97}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 31.33, ""YEAR"": 31.46}}, ""BATH"": {""ETOPO1"": -2.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_883,41.346077,-71.646544,Unidentified Odontocete,Odontoceti,toothed whales,180404,1,,8/21/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_883"", ""obsDate"": ""2011-08-21"", ""longitude"": -71.647, ""latitude"": 41.346, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 20.65, ""8DAYS"": 20.5, ""MONTH"": 21.21, ""YEAR"": 12.56}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 22.17, ""YEAR"": 17.79}, ""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 26.86, ""MONTH"": 11.34, ""YEAR"": 10.9}}, ""SALINITY"": {""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""BATH"": {""ETOPO1"": -8.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_895,41.054809,-73.437853,Loggerhead - Caretta caretta,Caretta caretta,Loggerhead Sea Turtle,173830,1,,8/19/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_895"", ""obsDate"": ""2011-08-19"", ""longitude"": -73.438, ""latitude"": 41.055, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 22.45, ""8DAYS"": 22.66, ""MONTH"": 23.17, ""YEAR"": 13.03}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 24.24, ""YEAR"": 23.39}, ""HYCOM"": {""MONTH"": 26.0, ""YEAR"": 13.7}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": 9.69}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 28.17, ""YEAR"": 28.81}}, ""BATH"": {""ETOPO1"": -5.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_910,41.268195,-72.630744,Green Turtle - Chelonia mydas,Chelonia mydas,Green Sea Turtle,173833,1,,8/17/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_910"", ""obsDate"": ""2011-08-17"", ""longitude"": -72.631, ""latitude"": 41.268, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 22.87, ""YEAR"": 16.55}, ""HYCOM"": {""MONTH"": 25.05, ""YEAR"": 13.64}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 28.76, ""YEAR"": 28.07}}, ""BATH"": {""ETOPO1"": -1.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_1137,41.326682,-71.750336,Leatherback - Dermochelys coriacea,Dermochelys coriacea,Leatherback Sea Turtle,173843,1,,8/15/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_1137"", ""obsDate"": ""2011-08-15"", ""longitude"": -71.75, ""latitude"": 41.327, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 21.57, ""MONTH"": 21.79, ""YEAR"": 16.13}, ""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 28.6, ""MONTH"": 8.5, ""YEAR"": 8.51}}, ""SALINITY"": {""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""BATH"": {""ETOPO1"": -16.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_1138,41.338339,-71.69947,Leatherback - Dermochelys coriacea,Dermochelys coriacea,Leatherback Sea Turtle,173843,1,,8/15/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_1138"", ""obsDate"": ""2011-08-15"", ""longitude"": -71.699, ""latitude"": 41.338, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 21.82, ""8DAYS"": 21.25, ""MONTH"": 21.21, ""YEAR"": 12.56}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": 16.67}, ""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""SALINITY"": {""HYCOM"": {""MONTH"": -9999, ""YEAR"": -9999}}, ""BATH"": {""ETOPO1"": -6.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_1136,41.27133,-71.55883,Leatherback - Dermochelys coriacea,Dermochelys coriacea,Leatherback Sea Turtle,173843,1,,8/14/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_1136"", ""obsDate"": ""2011-08-14"", ""longitude"": -71.559, ""latitude"": 41.271, ""BATH"": {""S2004"": -1, ""ETOPO1"": -46.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 21.72, ""8DAYS"": 21.41, ""MONTH"": 21.21, ""YEAR"": 12.56}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 21.89, ""MONTH"": 21.53, ""YEAR"": 15.87}, ""HYCOM"": {""MONTH"": 21.66, ""YEAR"": 12.88}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 2.3, ""MONTH"": 3.87, ""YEAR"": 5.2}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 31.54, ""YEAR"": 31.64}}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_527,41.454481,-71.311193,Unknown Species ,Caniformia,pinnipeds,552303,1,,8/13/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_527"", ""obsDate"": ""2011-08-13"", ""longitude"": -71.311, ""latitude"": 41.454, ""BATH"": {""S2004"": -1, ""ETOPO1"": -11.0}, ""ZONE"": {""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": 21.04, ""8DAYS"": 21.31, ""MONTH"": 21.07, ""YEAR"": 12.58}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 21.75, ""MONTH"": 21.94, ""YEAR"": 16.58}, ""HYCOM"": {""MONTH"": 22.43, ""YEAR"": 13.2}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": 3.13, ""MONTH"": 3.63, ""YEAR"": 3.44}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 31.59, ""YEAR"": 31.71}}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
945,945_922,41.299863,-71.981564,Leatherback - Dermochelys coriacea,Dermochelys coriacea,Leatherback Sea Turtle,173843,1,,8/12/2011 0:00,,ptobs,shore,Mystic Aquarium,6,111000,"{""oid"": ""945_922"", ""obsDate"": ""2011-08-12"", ""longitude"": -71.982, ""latitude"": 41.3, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 7, ""LME_NAME"": ""Northeast U.S. Continental Shelf""}], ""MEOW"": [{""ECO_CODE"": 20041, ""PROVINCE"": ""Cold Temperate Northwest Atlantic""}]}, ""SST"": {""OISST"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}, ""MODIS"": {""DAY"": 21.4, ""8DAYS"": 21.25, ""MONTH"": 21.25, ""YEAR"": 16.83}, ""HYCOM"": {""MONTH"": 21.79, ""YEAR"": 12.97}}, ""CHLOR-A"": {""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": -9999, ""YEAR"": -9999}}, ""SALINITY"": {""HYCOM"": {""MONTH"": 30.64, ""YEAR"": 30.47}}, ""BATH"": {""ETOPO1"": -19.0}}","Time was not available, so 00:00:00 was used.",4/9/2013 17:19
